Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2022/06/16,12:04 AM,19.61,16.11,80.0,ESE,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:06 AM,19.61,16.11,80.0,ESE,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:14 AM,19.61,16.11,80.0,SE,0.16,0.64,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:19 AM,19.5,16.0,80.0,SE,0.64,2.09,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:24 AM,19.5,16.0,80.0,ESE,0.16,0.64,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:29 AM,19.5,15.78,79.0,ESE,0.32,0.8,1023.03,0.0,0.0,0.0,0.0
2022/06/16,12:34 AM,19.5,15.78,79.0,SE,0.32,1.45,1023.03,0.0,0.0,0.0,0.0
2022/06/16,12:39 AM,19.5,15.83,79.0,SSE,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,12:44 AM,19.44,15.94,80.0,SSE,0.16,0.8,1023.03,0.0,0.0,0.0,0.0
2022/06/16,12:49 AM,19.39,15.89,80.0,SSE,0.16,0.64,1023.03,0.0,0.0,0.0,0.0
2022/06/16,12:54 AM,19.39,15.89,80.0,SE,0.32,1.77,1023.03,0.0,0.0,0.0,0.0
2022/06/16,12:59 AM,19.39,15.89,80.0,SE,0.32,1.77,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:04 AM,19.39,15.89,80.0,SSE,0.64,5.47,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:09 AM,19.39,15.89,80.0,SSE,0.64,5.47,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:12 AM,19.39,15.89,80.0,SSE,0.64,5.47,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:19 AM,NA,NA,NA,North,NA,NA,1023.37,NA,NA,NA,2.0
2022/06/16,01:24 AM,NA,NA,NA,North,NA,NA,1023.37,NA,NA,NA,2.0
2022/06/16,01:29 AM,19.5,15.78,79.0,South,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:34 AM,19.5,15.78,79.0,South,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:39 AM,19.5,15.67,78.0,SSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:44 AM,19.5,15.61,78.0,SSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:49 AM,19.5,15.61,78.0,SSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,01:54 AM,NA,NA,NA,North,NA,NA,1023.37,NA,NA,NA,2.0
2022/06/16,01:59 AM,NA,NA,NA,North,NA,NA,1023.71,NA,NA,NA,2.0
2022/06/16,02:04 AM,NA,NA,NA,North,NA,NA,1023.71,NA,NA,NA,2.0
2022/06/16,02:08 AM,NA,NA,NA,North,NA,NA,1023.71,NA,NA,NA,2.0
2022/06/16,02:14 AM,19.5,15.78,79.0,South,0.16,0.97,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:19 AM,19.5,15.78,79.0,SSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:24 AM,19.56,15.83,79.0,SSE,0.97,2.41,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:29 AM,19.61,15.89,79.0,SSE,2.9,7.24,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:32 AM,19.61,15.89,79.0,SSE,2.9,7.24,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:39 AM,19.5,15.78,79.0,SE,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:44 AM,19.5,15.78,79.0,SE,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,02:46 AM,19.5,15.78,79.0,SE,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,02:54 AM,NA,NA,NA,North,NA,NA,1023.03,NA,NA,NA,2.0
2022/06/16,02:59 AM,NA,NA,NA,North,NA,NA,1022.69,NA,NA,NA,2.0
2022/06/16,03:04 AM,NA,NA,NA,North,NA,NA,1023.03,NA,NA,NA,2.0
2022/06/16,03:09 AM,NA,NA,NA,North,NA,NA,1023.03,NA,NA,NA,2.0
2022/06/16,03:14 AM,NA,NA,NA,North,NA,NA,1022.69,NA,NA,NA,2.0
2022/06/16,03:19 AM,19.28,16.06,82.0,SSE,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:24 AM,19.28,16.06,82.0,SE,0.0,0.0,1022.69,0.0,0.0,0.0,0.0
2022/06/16,03:29 AM,19.28,16.17,82.0,SE,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:34 AM,19.28,16.11,82.0,SSE,0.0,0.16,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:39 AM,19.28,16.11,82.0,SSE,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:44 AM,19.28,16.22,82.0,South,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:49 AM,19.22,16.06,82.0,SSE,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,03:54 AM,19.28,16.11,82.0,SSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,03:59 AM,19.22,16.0,82.0,WSW,0.0,0.0,1023.37,0.0,0.0,0.0,0.0
2022/06/16,04:04 AM,19.22,16.0,82.0,WSW,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:07 AM,19.22,16.0,82.0,WSW,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:14 AM,NA,NA,NA,North,NA,NA,1022.69,NA,NA,NA,2.0
2022/06/16,04:19 AM,19.39,16.0,81.0,SSE,0.32,1.77,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:24 AM,19.39,16.0,81.0,SSE,0.16,0.8,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:29 AM,19.28,15.89,81.0,South,0.32,1.77,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:34 AM,19.28,15.89,81.0,South,0.32,1.77,1022.69,0.0,0.0,0.0,0.0
2022/06/16,04:39 AM,19.39,16.0,81.0,SSE,0.16,1.13,1022.69,0.0,0.0,0.0,0.0
2022/06/16,04:44 AM,19.39,16.11,81.0,SSW,0.32,0.97,1022.69,0.0,0.0,0.0,0.0
2022/06/16,04:49 AM,19.39,16.0,81.0,East,0.0,0.0,1023.03,0.0,0.0,0.0,0.0
2022/06/16,04:54 AM,19.39,16.0,81.0,East,0.0,0.0,1022.69,0.0,0.0,0.0,0.0
2022/06/16,04:58 AM,19.39,16.11,82.0,SSE,0.0,0.0,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:04 AM,19.39,16.22,82.0,SSE,0.64,1.77,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:09 AM,19.39,16.17,82.0,SSE,0.97,3.06,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:14 AM,19.39,16.22,82.0,South,0.8,2.25,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:19 AM,19.39,16.22,82.0,SSE,0.97,3.22,1023.03,0.0,0.0,0.0,0.0
2022/06/16,05:24 AM,19.39,16.22,82.0,SE,0.16,0.64,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:29 AM,19.39,16.22,82.0,SE,1.93,4.99,1022.69,0.0,0.0,0.0,0.0
2022/06/16,05:34 AM,19.39,16.22,82.0,SE,4.34,9.33,1023.03,0.0,0.0,0.0,0.0
2022/06/16,05:39 AM,19.39,16.06,81.0,SE,1.29,6.11,1023.03,0.0,0.0,0.0,0.4
2022/06/16,05:44 AM,19.39,16.0,81.0,South,1.13,3.54,1023.03,0.0,0.0,0.0,0.9
2022/06/16,05:49 AM,19.44,16.06,81.0,South,0.16,0.32,1022.69,0.0,0.0,0.0,3.4
2022/06/16,05:54 AM,19.5,16.28,82.0,SSE,0.8,2.74,1022.69,0.0,0.0,0.0,6.0
2022/06/16,05:59 AM,19.44,16.28,82.0,SSE,0.8,3.54,1023.37,0.0,0.0,0.0,5.1
2022/06/16,06:04 AM,19.5,16.28,82.0,SSE,0.16,0.97,1023.37,0.0,0.0,0.0,6.0
2022/06/16,06:09 AM,19.5,16.28,82.0,SE,0.0,0.0,1023.37,0.0,0.0,0.0,6.0
2022/06/16,06:12 AM,19.5,16.28,82.0,SE,0.0,0.0,1023.37,0.0,0.0,0.0,6.0
2022/06/16,06:19 AM,19.5,16.28,82.0,SSE,0.0,0.0,1023.71,0.0,0.0,0.0,6.0
2022/06/16,06:24 AM,19.5,16.28,82.0,SSE,0.0,0.0,1023.37,0.0,0.0,0.0,6.0
2022/06/16,06:29 AM,19.61,16.39,82.0,SE,0.0,0.0,1023.71,0.0,0.0,0.0,8.6
2022/06/16,06:34 AM,19.61,16.39,82.0,SE,0.16,0.32,1024.04,0.0,0.0,0.0,6.0
2022/06/16,06:39 AM,19.61,16.61,83.0,South,0.0,0.16,1024.04,0.0,0.0,0.0,5.1
2022/06/16,06:44 AM,19.61,16.72,83.0,West,0.16,0.48,1026.08,0.0,0.0,0.0,2.6
2022/06/16,06:49 AM,19.72,16.72,83.0,,0.16,0.48,1026.08,0.0,0.0,0.0,2.9
2022/06/16,06:54 AM,19.72,16.72,83.0,West,0.0,0.0,1026.08,0.0,0.0,0.0,5.1
2022/06/16,06:59 AM,19.72,17.0,85.0,WNW,0.0,0.0,1026.08,0.0,0.0,0.0,6.5
2022/06/16,07:04 AM,19.61,17.17,86.0,NW,0.0,0.0,1026.08,0.0,0.0,0.0,6.9
2022/06/16,07:09 AM,19.5,17.28,87.0,NW,0.0,0.0,1026.08,0.0,0.0,0.0,9.9
2022/06/16,07:14 AM,19.28,17.11,87.0,NNW,0.0,0.0,1026.08,0.0,0.0,0.0,9.1
2022/06/16,07:19 AM,19.06,16.83,87.0,ENE,0.0,0.0,1026.08,0.0,0.0,0.0,10.8
2022/06/16,07:24 AM,18.94,16.56,86.0,ENE,0.0,0.0,1025.74,0.0,0.0,0.0,11.3
2022/06/16,07:29 AM,18.83,16.44,86.0,ESE,0.16,0.32,1025.4,0.0,0.0,0.0,12.1
2022/06/16,07:34 AM,18.67,16.28,86.0,ESE,0.0,0.16,1025.06,1.78,0.25,0.0,5.6
2022/06/16,07:39 AM,18.61,16.28,86.0,SSE,0.8,2.25,1025.06,4.83,0.76,0.0,4.8
