ts,laeq,lceq,lzeq,PM1.0,PM2.5,PM10,engine,machinery_impact,non_machinery_impact,powered_saw,human_voice,praxis_pm1_vals,praxis_pm2p5_vals,praxis_pm10_vals,praxis_pm1_vals_adj,praxis_pm2p5_vals_adj,praxis_pm10_vals_adj,temp_c,rel_humid,PM2.5_adj
2022-06-16 17:48:00-04:00,55.7585,64.9469,66.6801,2.2256,4.844,5.3406,0.4112,0.2606,0.1241,0.0193,0.2066,1.4,6.9,28.2,3.3,5.6,15.4,20.22,86.0,9.144
2022-06-16 17:49:00-04:00,52.4485,60.5255,62.476,2.5609,6.5389,7.4574,0.4609,0.2409,0.1467,0.0166,0.1345,1.3,6.3,23.4,2.9,4.6,12.6,20.22,86.0,9.933
2022-06-16 17:50:00-04:00,54.2461,65.1293,66.5412,2.6336,5.6923,6.3536,0.4837,0.2357,0.1545,0.0156,0.1449,1.3,6.8,22.7,3.2,5.2,13.3,20.22,86.0,9.5302
2022-06-16 17:51:00-04:00,54.3561,63.7794,65.901,2.4963,5.3174,5.967,0.4159,0.2237,0.1384,0.0172,0.2034,1.4,6.6,22.3,3.2,5.7,13.5,20.22,86.0,9.3668
2022-06-16 17:52:00-04:00,58.2713,68.4367,69.3863,2.9564,7.1592,7.8365,0.3999,0.2688,0.1342,0.0186,0.2167,1.2,5.9,19.6,3.4,5.0,14.4,20.22,86.0,10.1725
2022-06-16 17:53:00-04:00,58.4234,67.6222,68.6029,2.6852,6.0862,6.7548,0.458,0.2211,0.1196,0.0167,0.1895,1.2,5.6,22.0,3.2,4.9,12.9,20.22,86.0,9.7412
2022-06-16 17:54:00-04:00,59.4047,67.7105,68.7854,2.7701,6.8314,7.7283,0.4276,0.2846,0.1296,0.0203,0.1672,1.3,6.6,28.7,3.6,5.9,15.5,20.28,86.0,10.0376
2022-06-16 17:55:00-04:00,57.6375,62.6156,63.9837,4.9424,11.119,11.9672,0.3922,0.2792,0.1715,0.0195,0.1815,1.2,6.0,17.9,3.7,5.2,14.9,20.28,86.0,10.556
2022-06-16 17:56:00-04:00,58.9758,63.3223,64.4158,3.6053,6.205,6.5486,0.3681,0.2814,0.1729,0.0141,0.1751,1.4,6.3,24.1,3.8,5.9,14.0,20.28,86.0,9.807
2022-06-16 17:57:00-04:00,60.8268,66.0998,67.3805,2.888,5.719,6.3256,0.3832,0.2587,0.1277,0.0154,0.2517,1.4,6.2,21.4,3.6,5.7,14.0,20.28,86.0,9.5668
