ts,laeq,lceq,lzeq,PM1.0,PM2.5,PM10,engine,machinery_impact,non_machinery_impact,powered_saw,human_voice,temp_c,rel_humid,PM2.5_adj
2022-06-16 15:01:00-04:00,61.9482,67.6087,68.3959,2.1552,2.6104,2.9341,0.4711,0.2053,0.1219,0.0128,0.2274,21.72,80.0,8.1815
2022-06-16 15:02:00-04:00,61.6684,69.1679,70.2882,3.1363,3.9716,4.203,0.4868,0.2484,0.13,0.0132,0.168,21.72,80.0,8.4844
2022-06-16 15:03:00-04:00,58.365,66.3204,67.7368,1.8955,2.486,2.6392,0.4889,0.2024,0.1253,0.014,0.2082,21.72,80.0,8.1275
2022-06-16 15:04:00-04:00,58.3862,66.4196,67.6471,1.1386,1.5069,1.7183,0.5074,0.1984,0.1382,0.0112,0.1782,21.72,80.0,7.7757
2022-06-16 15:05:00-04:00,53.7263,64.0496,65.5119,0.9618,1.2543,1.4272,0.4974,0.2129,0.1432,0.0119,0.188,21.72,80.0,7.7468
2022-06-16 15:06:00-04:00,54.7779,63.8627,64.9215,0.9708,1.2875,1.4564,0.5101,0.218,0.1403,0.0122,0.1626,21.72,80.0,7.7516
2022-06-16 15:07:00-04:00,54.5211,64.7717,66.1063,1.0552,1.439,1.548,0.503,0.1619,0.1403,0.0148,0.1566,21.72,80.0,7.7649
2022-06-16 15:08:00-04:00,56.5262,68.2192,69.8437,0.9482,1.2586,1.3544,0.5368,0.2283,0.1278,0.017,0.1411,21.72,80.0,7.7468
2022-06-16 15:09:00-04:00,59.1021,71.4622,73.8334,0.9318,1.3619,1.64,0.5269,0.2029,0.1479,0.0148,0.1944,21.72,80.0,7.7507
2022-06-16 15:10:00-04:00,61.1654,71.9628,74.2237,1.147,1.6987,1.8835,0.5376,0.2306,0.1422,0.0175,0.1653,21.72,80.0,7.7922
2022-06-16 15:11:00-04:00,58.8655,69.6342,71.2499,0.9708,1.3304,1.5509,0.5425,0.263,0.1337,0.0114,0.1497,21.72,80.0,7.749
2022-06-16 15:12:00-04:00,51.915,61.9463,63.4097,1.0216,1.42,1.5963,0.5004,0.206,0.1334,0.0144,0.1622,21.72,80.0,7.7612
2022-06-16 15:13:00-04:00,57.1866,65.2668,66.6286,1.4262,1.9877,2.1751,0.5283,0.2123,0.133,0.0156,0.1366,21.72,80.0,7.8344
2022-06-16 15:14:00-04:00,59.7399,68.2607,69.5817,1.2965,1.7601,1.9807,0.5549,0.1684,0.135,0.0101,0.1318,21.78,80.0,7.8059
2022-06-16 15:15:00-04:00,58.3578,65.4912,66.4144,1.1068,1.5716,1.8455,0.4738,0.2453,0.1391,0.0131,0.1771,21.78,80.0,7.7911
2022-06-16 15:16:00-04:00,57.5076,67.8942,69.2134,1.1378,1.6166,1.8504,0.5156,0.2097,0.1407,0.0126,0.1852,21.78,80.0,7.787
2022-06-16 15:17:00-04:00,54.6095,65.9414,67.933,1.1187,1.589,1.8546,0.4912,0.2273,0.1396,0.0175,0.175,21.78,80.0,7.7876
2022-06-16 15:18:00-04:00,54.5496,63.7325,64.855,1.19,1.4881,1.5222,0.5103,0.2074,0.1399,0.0128,0.1666,21.78,80.0,7.7815
2022-06-16 15:19:00-04:00,54.1295,65.1923,66.6593,0.9972,1.3124,1.4847,0.5165,0.1965,0.1449,0.0111,0.1597,22.33,78.0,8.0656
2022-06-16 15:20:00-04:00,56.5909,66.8675,67.947,1.0353,1.421,1.6839,0.533,0.206,0.1358,0.0146,0.1629,22.33,78.0,8.0808
2022-06-16 15:21:00-04:00,58.2274,67.4238,68.4196,0.9833,1.3522,1.4287,0.5291,0.2253,0.1152,0.0129,0.1806,22.33,78.0,8.067
2022-06-16 15:22:00-04:00,56.7404,65.384,66.4316,0.9128,1.1101,1.201,0.4737,0.1997,0.135,0.0134,0.1881,22.33,78.0,8.0473
2022-06-16 15:23:00-04:00,58.8381,67.1918,67.9888,0.8536,1.0809,1.2581,0.5683,0.2079,0.1193,0.0133,0.1098,22.33,78.0,8.0421
2022-06-16 15:24:00-04:00,66.4038,72.9068,73.3914,0.9351,1.2457,1.3597,0.5683,0.2924,0.1054,0.0129,0.122,22.61,77.0,8.6757
2022-06-16 15:25:00-04:00,57.8917,65.3834,66.6004,0.9274,1.3382,1.5256,0.5523,0.1939,0.1386,0.0137,0.1283,22.61,77.0,8.6839
2022-06-16 15:26:00-04:00,55.9757,65.1527,66.3031,0.7997,1.1565,1.3445,0.506,0.1772,0.1383,0.011,0.1828,22.61,77.0,8.6723
2022-06-16 15:27:00-04:00,56.9813,64.1576,65.18,1.0028,1.4182,1.5942,0.4542,0.2133,0.139,0.0127,0.1571,22.61,77.0,8.6908
2022-06-16 15:28:00-04:00,61.9556,71.2372,72.1664,1.3982,1.9561,2.2076,0.526,0.234,0.1342,0.0086,0.1592,22.61,77.0,8.7477
2022-06-16 15:29:00-04:00,58.9148,67.985,69.1424,3.8347,4.8875,5.7588,0.5168,0.2014,0.1442,0.0141,0.128,21.83,80.0,9.0786
2022-06-16 15:30:00-04:00,57.757,66.9526,68.1485,8.7538,11.24,11.6904,0.5455,0.2056,0.1384,0.0162,0.152,21.83,80.0,10.8637
2022-06-16 15:31:00-04:00,56.5665,66.2775,67.6957,3.94,4.5354,4.916,0.5198,0.2279,0.1338,0.0168,0.1532,21.83,80.0,8.8227
2022-06-16 15:32:00-04:00,58.8367,65.9322,67.4316,3.007,3.5715,3.8004,0.5475,0.156,0.1444,0.0114,0.1394,21.83,80.0,8.3571
2022-06-16 15:33:00-04:00,55.7274,64.6248,66.0133,1.7268,2.0877,2.2941,0.513,0.2127,0.1439,0.0163,0.1402,21.83,80.0,7.9563
2022-06-16 15:34:00-04:00,57.88,67.078,68.4338,1.0851,1.3885,1.6578,0.5131,0.1846,0.1473,0.0112,0.1771,21.61,81.0,7.6421
2022-06-16 15:35:00-04:00,56.9911,67.9563,69.2831,1.1348,1.4567,1.5907,0.5164,0.1846,0.1436,0.0132,0.1605,21.61,81.0,7.6405
2022-06-16 15:36:00-04:00,56.3477,66.374,67.3798,1.5238,1.7654,1.8455,0.5205,0.1819,0.1513,0.0143,0.1593,21.61,81.0,7.7042
2022-06-16 15:37:00-04:00,57.7564,65.8912,67.1632,1.3139,1.6641,1.836,0.512,0.1901,0.1513,0.0103,0.1442,21.61,81.0,7.6757
2022-06-16 15:38:00-04:00,57.8914,66.712,67.8526,1.1392,1.4985,1.6566,0.5174,0.1976,0.14,0.0133,0.1423,21.61,81.0,7.6405
2022-06-16 15:39:00-04:00,59.5639,67.4355,68.5913,1.0625,1.3937,1.5153,0.5028,0.1938,0.1337,0.012,0.1424,21.61,81.0,7.6421
2022-06-16 15:40:00-04:00,57.1191,68.5558,69.4783,0.8317,1.0374,1.08,0.5252,0.2025,0.1482,0.0136,0.143,21.61,81.0,7.623
2022-06-16 15:41:00-04:00,57.6008,68.3775,69.4393,0.8714,1.1379,1.2811,0.5059,0.2058,0.1359,0.0121,0.1564,21.61,81.0,7.6324
2022-06-16 15:42:00-04:00,57.2378,65.8906,67.0011,0.9778,1.229,1.3629,0.5197,0.2128,0.1488,0.0145,0.1295,21.61,81.0,7.638
2022-06-16 15:43:00-04:00,57.8206,67.6446,69.0302,0.6811,0.8307,0.921,0.5073,0.2164,0.1401,0.0138,0.1706,21.61,81.0,7.6205
2022-06-16 15:44:00-04:00,62.7211,69.0643,69.8799,0.6012,0.9008,1.106,0.5202,0.2678,0.1441,0.0138,0.1509,21.61,81.0,7.6197
2022-06-16 15:45:00-04:00,57.5423,65.5175,66.6221,0.6032,0.9338,1.1454,0.4665,0.2545,0.1315,0.0159,0.1846,21.61,81.0,7.621
2022-06-16 15:46:00-04:00,56.2859,64.9532,66.1355,0.6145,0.8546,0.9796,0.519,0.2141,0.1502,0.0171,0.1554,21.61,81.0,7.6197
2022-06-16 15:47:00-04:00,56.6737,65.3797,66.6361,0.8132,1.1292,1.2684,0.536,0.1961,0.1491,0.0164,0.1531,21.61,81.0,7.6324
2022-06-16 15:48:00-04:00,53.4726,62.4922,63.9075,0.6664,0.8696,1.0045,0.4736,0.2109,0.1459,0.014,0.1952,21.61,81.0,7.6197
2022-06-16 15:49:00-04:00,57.1656,64.3185,65.4075,0.5141,0.6307,0.733,0.5143,0.1715,0.1493,0.0113,0.1509,21.61,81.0,7.6067
2022-06-16 15:50:00-04:00,56.9851,64.9396,66.0643,0.7257,1.0662,1.2283,0.4995,0.2196,0.1409,0.0133,0.1435,21.61,81.0,7.623
2022-06-16 15:51:00-04:00,55.9104,64.7653,66.1165,0.7908,1.042,1.1062,0.5162,0.1795,0.146,0.0125,0.1359,21.61,81.0,7.623
2022-06-16 15:52:00-04:00,57.2371,63.8631,64.9541,0.7627,1.0555,1.1958,0.5324,0.2105,0.1234,0.014,0.128,21.61,81.0,7.623
2022-06-16 15:53:00-04:00,54.2747,63.2412,64.4287,0.7602,1.0086,1.241,0.5188,0.2027,0.1306,0.0124,0.1379,21.61,81.0,7.6224
2022-06-16 15:54:00-04:00,54.3631,62.9031,64.2265,0.6362,0.8422,0.9212,0.506,0.2312,0.1471,0.0151,0.1626,21.61,81.0,7.6205
2022-06-16 15:55:00-04:00,56.9618,67.4498,69.5491,0.5778,0.828,0.9944,0.5136,0.2005,0.151,0.0161,0.1695,21.61,81.0,7.6205
2022-06-16 15:56:00-04:00,53.3355,63.3937,64.6163,0.692,1.1279,1.4516,0.4991,0.2083,0.146,0.0136,0.1784,21.61,81.0,7.6324
2022-06-16 15:57:00-04:00,56.8202,65.5283,66.9032,0.5692,0.7325,0.8064,0.5333,0.2056,0.1474,0.0128,0.1429,21.61,81.0,7.6119
2022-06-16 15:58:00-04:00,57.489,67.1292,68.6652,0.6828,0.8778,0.9407,0.484,0.1773,0.1451,0.0138,0.1576,21.61,81.0,7.6197
2022-06-16 15:59:00-04:00,54.6874,66.0888,67.3983,0.6382,0.8229,0.9669,0.4656,0.2383,0.1594,0.0119,0.186,21.61,81.0,7.6147
2022-06-16 16:00:00-04:00,55.5891,63.1878,64.2546,0.7455,1.0165,1.1028,0.4327,0.248,0.1655,0.0133,0.2061,21.61,81.0,7.623
2022-06-16 16:01:00-04:00,57.5394,64.7229,65.895,0.9284,1.2686,1.4489,0.4543,0.2347,0.1573,0.0149,0.1873,21.61,81.0,7.638
2022-06-16 16:02:00-04:00,56.4314,64.8517,66.4766,0.7985,0.9786,0.9983,0.4868,0.2305,0.1463,0.0179,0.1479,21.61,81.0,7.6221
2022-06-16 16:03:00-04:00,57.3152,65.527,66.8222,0.6367,0.7302,0.7818,0.5279,0.1812,0.1228,0.0144,0.1577,21.61,81.0,7.6119
2022-06-16 16:04:00-04:00,55.4505,64.5306,66.044,0.5018,0.5828,0.6672,0.4788,0.2069,0.1237,0.0117,0.2251,21.61,81.0,7.6019
2022-06-16 16:05:00-04:00,54.8732,65.1329,66.5884,0.5272,0.7016,0.7993,0.4823,0.2254,0.1481,0.0139,0.1719,21.61,81.0,7.6138
2022-06-16 16:06:00-04:00,58.3539,68.8074,69.8598,0.611,0.8104,0.9557,0.5369,0.1878,0.1262,0.0104,0.1501,21.61,81.0,7.6147
2022-06-16 16:07:00-04:00,58.1462,66.6385,68.0256,0.8155,1.0314,1.1164,0.541,0.1793,0.146,0.0155,0.1544,21.61,81.0,7.623
2022-06-16 16:08:00-04:00,55.6537,63.6865,64.9708,0.7984,1.1397,1.2816,0.5106,0.1924,0.1354,0.0136,0.1636,21.61,81.0,7.6324
2022-06-16 16:09:00-04:00,54.6249,66.7756,68.4007,0.4743,0.5471,0.5794,0.508,0.2075,0.1614,0.0134,0.1561,21.61,81.0,7.6006
2022-06-16 16:10:00-04:00,57.435,66.6093,68.0593,0.6063,0.9183,1.1569,0.5193,0.1919,0.1522,0.0158,0.1594,21.61,81.0,7.6197
2022-06-16 16:11:00-04:00,55.0193,65.8377,67.1778,0.6855,0.979,1.108,0.5008,0.2209,0.1593,0.0139,0.1624,21.61,81.0,7.6221
2022-06-16 16:12:00-04:00,58.434,65.7802,66.9634,0.6682,0.9007,0.991,0.5247,0.1839,0.1471,0.0116,0.1412,21.61,81.0,7.6197
2022-06-16 16:13:00-04:00,58.9811,67.0988,68.2032,0.6652,0.8481,0.9031,0.5015,0.2067,0.1287,0.0119,0.1373,21.61,81.0,7.6205
2022-06-16 16:14:00-04:00,57.8131,65.7103,66.9242,0.7381,0.98,1.1114,0.4567,0.2408,0.1582,0.0138,0.1455,21.61,81.0,7.6221
2022-06-16 16:15:00-04:00,58.7821,64.4614,65.4276,0.7382,0.9735,1.1003,0.4782,0.2578,0.1389,0.0161,0.169,21.61,81.0,7.6221
