ts,laeq,lceq,lzeq,PM1.0,PM2.5,PM10,engine,machinery_impact,non_machinery_impact,powered_saw,human_voice,praxis_pm1_vals,praxis_pm2p5_vals,praxis_pm10_vals,praxis_pm1_vals_adj,praxis_pm2p5_vals_adj,praxis_pm10_vals_adj,temp_c,rel_humid,PM2.5_adj
2022-06-18 10:55:00-04:00,61.6463,71.2261,73.3956,15.6155,26.889,27.6558,0.5064,0.2216,0.1914,0.0094,0.1731,0.2,1.0,10.0,1.1,2.9,17.6,20.22,56.0,16.0283
2022-06-18 10:56:00-04:00,66.0337,73.8869,75.3556,5.3837,7.1783,7.9254,0.4637,0.2605,0.1868,0.0129,0.1564,0.3,1.1,7.9,1.2,2.0,10.2,20.22,56.0,10.2462
2022-06-18 10:57:00-04:00,60.6766,69.5787,70.9123,2.0088,2.5159,2.8596,0.5207,0.2171,0.1455,0.0127,0.1407,0.3,1.3,10.6,1.2,2.9,21.4,20.22,56.0,7.4937
2022-06-18 10:58:00-04:00,61.1093,69.2044,70.1864,1.1442,1.5459,1.8973,0.5521,0.2386,0.1554,0.0111,0.1272,0.2,1.2,4.1,1.0,2.3,13.0,20.22,56.0,7.0222
2022-06-18 10:59:00-04:00,62.1004,72.6746,74.1935,0.5274,0.7868,1.0599,0.5533,0.1998,0.1533,0.0126,0.1385,0.3,0.9,9.1,1.4,2.4,11.5,20.0,56.0,6.6889
2022-06-18 11:00:00-04:00,65.1839,74.494,75.9772,0.6497,1.2503,1.4739,0.5636,0.2439,0.1332,0.0121,0.1261,0.4,1.1,5.1,1.8,3.2,10.5,20.0,56.0,6.7498
2022-06-18 11:01:00-04:00,61.4571,72.127,73.3358,0.4752,0.7747,0.8739,0.499,0.2122,0.1479,0.0109,0.1721,0.3,1.2,6.1,1.3,2.6,10.6,20.0,56.0,6.6803
2022-06-18 11:02:00-04:00,60.9793,71.0168,72.0747,0.3978,0.7961,1.1263,0.4762,0.2191,0.1376,0.0136,0.2088,0.3,1.3,6.8,1.5,2.5,11.8,20.0,56.0,6.6889
2022-06-18 11:03:00-04:00,63.0032,71.1285,72.7893,0.3147,0.5565,0.9509,0.4918,0.2272,0.1363,0.0134,0.1952,0.2,1.3,8.5,1.1,2.6,16.8,20.0,56.0,6.616
2022-06-18 11:04:00-04:00,62.6705,72.153,73.8012,0.4808,0.7207,0.8547,0.4652,0.2251,0.1478,0.0095,0.1988,0.2,1.2,9.7,1.0,2.4,17.5,20.28,55.0,6.8531
2022-06-18 11:05:00-04:00,61.9693,71.9435,73.7705,0.4403,0.6554,0.7577,0.461,0.2262,0.168,0.015,0.1711,0.2,0.7,3.1,1.0,2.2,9.1,20.28,55.0,6.8499
2022-06-18 11:06:00-04:00,60.0805,70.6013,72.3261,0.5064,0.9489,1.4505,0.4671,0.2337,0.1588,0.0146,0.1661,0.2,1.0,8.1,1.1,2.1,12.0,20.28,55.0,6.8753
2022-06-18 11:07:00-04:00,61.4004,70.178,71.1544,0.3451,0.9714,1.3309,0.5259,0.2369,0.1427,0.0173,0.1261,0.2,1.4,12.1,1.0,2.8,17.9,20.28,55.0,6.8707
2022-06-18 11:08:00-04:00,63.2314,72.6275,73.8428,0.4036,0.5844,0.5859,0.4736,0.2577,0.1722,0.013,0.1595,0.3,1.1,15.5,1.1,2.4,10.6,20.28,55.0,6.8261
2022-06-18 11:09:00-04:00,61.6576,70.3837,71.5046,0.4612,0.7546,1.291,0.4606,0.226,0.1546,0.0137,0.1914,0.3,1.4,7.3,1.2,2.6,13.9,20.44,55.0,6.8369
