Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2022/04/24,12:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,12:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,01:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,02:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,03:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,04:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:24 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:29 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:34 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:39 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:44 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:49 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:54 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,05:59 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,06:04 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,06:09 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,06:14 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
2022/04/24,06:19 AM,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,2.0
